asset_type,algorithm,tls_version,data_longevity,traffic_volume,dependencies,risk_score
WEB,ECDSA,TLS1.2,12,71622,7,75
API,ECDHE,TLS1.3,5,44856,5,40
WEB,ECDHE,TLS1.2,16,13431,1,75
WEB,ECDHE,TLS1.3,10,43053,3,40
API,RSA,TLS1.2,7,12709,9,80
WEB,ECDHE,TLS1.2,2,47907,4,55
API,ECDHE,TLS1.2,19,95113,8,75
VPN,ECDSA,TLS1.2,19,36306,5,75
WEB,ECDSA,TLS1.3,15,34784,9,60
VPN,ECDSA,TLS1.3,9,82849,10,40
WEB,ECDHE,TLS1.2,4,60114,5,55
VPN,ECDHE,TLS1.2,20,90495,7,75
VPN,ECDSA,TLS1.3,9,40623,6,40
API,ECDSA,TLS1.3,2,86114,5,40
WEB,ECDSA,TLS1.2,7,69308,3,55
VPN,RSA,TLS1.3,3,69756,5,65
VPN,RSA,TLS1.3,5,17714,5,65
WEB,ECDSA,TLS1.2,5,33984,6,55
WEB,RSA,TLS1.3,3,51005,7,65
VPN,ECDSA,TLS1.2,4,33681,4,55
WEB,ECDSA,TLS1.2,2,66683,10,55
API,ECDHE,TLS1.2,5,32323,9,55
VPN,ECDHE,TLS1.2,14,59605,6,75
API,ECDSA,TLS1.3,11,43040,1,60
VPN,ECDHE,TLS1.3,19,37899,10,60
WEB,ECDHE,TLS1.2,10,26515,7,55
API,ECDSA,TLS1.3,7,48608,3,40
WEB,RSA,TLS1.3,15,41831,2,85
VPN,ECDHE,TLS1.2,13,82323,3,75
VPN,ECDHE,TLS1.3,20,2800,8,60
VPN,ECDSA,TLS1.2,14,96098,6,75
VPN,RSA,TLS1.3,14,47024,10,85
WEB,ECDSA,TLS1.3,1,33080,3,40
API,ECDHE,TLS1.3,20,63292,9,60
VPN,ECDHE,TLS1.2,14,45543,3,75
VPN,RSA,TLS1.3,18,78102,7,85
API,ECDHE,TLS1.3,4,17760,4,40
VPN,ECDHE,TLS1.3,5,38237,10,40
VPN,ECDHE,TLS1.3,9,4812,10,40
VPN,ECDHE,TLS1.2,17,27475,2,75
API,RSA,TLS1.3,3,77776,1,65
WEB,RSA,TLS1.3,16,61728,9,85
VPN,ECDSA,TLS1.2,16,68534,3,75
WEB,ECDHE,TLS1.3,20,8497,10,60
VPN,RSA,TLS1.2,3,83041,5,80
VPN,RSA,TLS1.2,3,5097,2,80
VPN,ECDHE,TLS1.2,4,47691,5,55
WEB,ECDSA,TLS1.2,16,43553,6,75
WEB,ECDSA,TLS1.3,6,55388,2,40
VPN,ECDSA,TLS1.2,11,59121,5,75
API,ECDSA,TLS1.3,4,89870,7,40
VPN,ECDHE,TLS1.3,12,45300,4,60
WEB,RSA,TLS1.2,3,51660,6,80
API,RSA,TLS1.3,12,21602,6,85
API,RSA,TLS1.3,18,53586,6,85
API,ECDHE,TLS1.3,20,15236,8,60
VPN,RSA,TLS1.2,7,51990,5,80
API,ECDHE,TLS1.3,14,75550,6,60
API,ECDHE,TLS1.2,6,93325,3,55
API,ECDSA,TLS1.2,13,18674,10,75
VPN,ECDHE,TLS1.3,6,5162,9,40
VPN,RSA,TLS1.3,13,69447,8,85
API,ECDHE,TLS1.3,20,15273,5,60
API,ECDSA,TLS1.2,14,28626,4,75
WEB,ECDSA,TLS1.3,4,84726,8,40
API,RSA,TLS1.2,18,40505,5,100
WEB,ECDHE,TLS1.2,1,18513,9,55
VPN,ECDSA,TLS1.3,20,37124,5,60
WEB,RSA,TLS1.2,4,21324,5,80
API,RSA,TLS1.3,8,50205,10,65
VPN,ECDSA,TLS1.2,18,44999,4,75
VPN,ECDHE,TLS1.3,19,54072,1,60
API,ECDSA,TLS1.3,20,98878,2,60
VPN,ECDHE,TLS1.2,4,43820,5,55
WEB,RSA,TLS1.3,15,35925,1,85
API,ECDSA,TLS1.3,6,78884,7,40
API,RSA,TLS1.3,14,1166,2,85
API,RSA,TLS1.2,2,74730,2,80
API,ECDSA,TLS1.2,20,11162,2,75
API,ECDHE,TLS1.3,1,33463,1,40
WEB,RSA,TLS1.3,3,11744,1,65
WEB,ECDSA,TLS1.3,12,54043,7,60
VPN,ECDHE,TLS1.2,1,15642,9,55
VPN,RSA,TLS1.3,4,1586,9,65
VPN,ECDSA,TLS1.2,2,23344,9,55
API,RSA,TLS1.2,14,10513,2,100
WEB,ECDHE,TLS1.2,9,8888,3,55
API,RSA,TLS1.3,2,79032,8,65
VPN,ECDHE,TLS1.2,19,20109,7,75
VPN,ECDSA,TLS1.2,3,96393,1,55
VPN,ECDHE,TLS1.3,19,33548,1,60
WEB,ECDSA,TLS1.3,10,72083,8,40
VPN,ECDSA,TLS1.3,4,58919,9,40
WEB,ECDHE,TLS1.3,13,1726,7,60
API,ECDSA,TLS1.2,16,6435,7,75
API,ECDSA,TLS1.2,13,22668,1,75
WEB,ECDSA,TLS1.3,20,66192,8,60
API,RSA,TLS1.2,16,52124,10,100
WEB,ECDSA,TLS1.3,20,2309,10,60
WEB,RSA,TLS1.2,18,25950,2,100
VPN,ECDHE,TLS1.2,16,58254,4,75
API,ECDHE,TLS1.2,5,20121,2,55
API,RSA,TLS1.3,5,95370,3,65
WEB,ECDSA,TLS1.3,18,67559,8,60
API,ECDSA,TLS1.3,4,17046,10,40
VPN,ECDSA,TLS1.3,16,5929,1,60
API,ECDHE,TLS1.3,15,16398,10,60
API,ECDSA,TLS1.3,17,71031,6,60
API,RSA,TLS1.3,16,3416,8,85
WEB,ECDSA,TLS1.3,7,90861,7,40
API,ECDHE,TLS1.2,10,73892,6,55
API,RSA,TLS1.2,14,26385,9,100
WEB,ECDSA,TLS1.2,17,63954,8,75
API,ECDHE,TLS1.2,15,77841,10,75
API,ECDHE,TLS1.3,19,60556,2,60
VPN,ECDSA,TLS1.3,6,40172,5,40
WEB,RSA,TLS1.3,10,90925,1,65
VPN,RSA,TLS1.2,12,5185,9,100
API,ECDSA,TLS1.2,15,8587,7,75
WEB,ECDSA,TLS1.3,7,35909,4,40
API,ECDHE,TLS1.3,15,99829,7,60
API,ECDHE,TLS1.3,14,86767,6,60
VPN,ECDSA,TLS1.2,9,3054,10,55
API,ECDSA,TLS1.2,4,94226,5,55
VPN,ECDHE,TLS1.3,10,72694,5,40
WEB,RSA,TLS1.3,13,80825,10,85
API,RSA,TLS1.2,13,3605,9,100
VPN,ECDHE,TLS1.3,8,21778,9,40
VPN,ECDHE,TLS1.2,9,10006,4,55
WEB,RSA,TLS1.2,1,31318,2,80
WEB,RSA,TLS1.3,12,23751,10,85
API,ECDHE,TLS1.3,18,4478,8,60
VPN,ECDSA,TLS1.2,18,4205,3,75
WEB,ECDSA,TLS1.2,9,32472,10,55
VPN,ECDSA,TLS1.2,8,31213,1,55
VPN,ECDSA,TLS1.3,19,9129,3,60
WEB,ECDSA,TLS1.2,19,75024,3,75
WEB,RSA,TLS1.3,3,31335,5,65
VPN,ECDHE,TLS1.2,9,91430,2,55
API,ECDSA,TLS1.3,6,55965,10,40
WEB,RSA,TLS1.3,8,32881,9,65
API,RSA,TLS1.2,14,93312,9,100
VPN,ECDHE,TLS1.2,5,8106,6,55
API,ECDSA,TLS1.2,17,13587,1,75
WEB,ECDHE,TLS1.3,16,87599,8,60
WEB,ECDSA,TLS1.2,10,74000,6,55
API,ECDSA,TLS1.2,1,42053,2,55
WEB,ECDSA,TLS1.3,8,9934,2,40
API,RSA,TLS1.2,1,3895,2,80
API,RSA,TLS1.3,3,83658,3,65
WEB,ECDSA,TLS1.3,18,50643,1,60
VPN,ECDHE,TLS1.3,9,83758,6,40
API,ECDSA,TLS1.3,11,43053,10,60
VPN,ECDHE,TLS1.2,16,72934,5,75
VPN,ECDHE,TLS1.3,13,61589,5,60
VPN,RSA,TLS1.3,2,14081,9,65
VPN,ECDHE,TLS1.2,12,19303,8,75
WEB,ECDHE,TLS1.3,1,73896,4,40
API,RSA,TLS1.2,13,3187,8,100
WEB,ECDHE,TLS1.2,2,64046,4,55
API,RSA,TLS1.3,5,83965,3,65
WEB,ECDHE,TLS1.2,14,30978,8,75
API,RSA,TLS1.3,11,90375,1,85
WEB,ECDHE,TLS1.3,6,51786,4,40
VPN,RSA,TLS1.3,5,3061,10,65
API,ECDHE,TLS1.3,10,30788,10,40
VPN,ECDSA,TLS1.2,1,44350,3,55
VPN,ECDSA,TLS1.3,18,92940,7,60
API,RSA,TLS1.2,10,43612,2,80
VPN,RSA,TLS1.3,20,55322,7,85
VPN,ECDSA,TLS1.2,15,22321,4,75
API,ECDSA,TLS1.3,13,67430,2,60
API,RSA,TLS1.2,8,89758,1,80
VPN,ECDSA,TLS1.3,12,58940,3,60
VPN,ECDHE,TLS1.3,3,89754,8,40
API,RSA,TLS1.2,13,15848,7,100
WEB,RSA,TLS1.3,1,68293,9,65
API,RSA,TLS1.3,20,70295,6,85
WEB,RSA,TLS1.2,11,32990,10,100
WEB,ECDSA,TLS1.2,15,43532,5,75
WEB,RSA,TLS1.2,5,66212,3,80
API,RSA,TLS1.2,6,33453,9,80
VPN,ECDSA,TLS1.3,2,18896,9,40
WEB,RSA,TLS1.2,5,31881,5,80
WEB,ECDSA,TLS1.3,1,71252,5,40
WEB,ECDHE,TLS1.2,5,4146,6,55
WEB,ECDHE,TLS1.3,12,89644,1,60
VPN,ECDSA,TLS1.3,4,82537,8,40
API,ECDHE,TLS1.2,6,14675,7,55
API,RSA,TLS1.2,9,82114,4,80
API,ECDSA,TLS1.3,3,98283,4,40
WEB,ECDHE,TLS1.2,5,98388,2,55
API,RSA,TLS1.2,19,12327,9,100
VPN,ECDSA,TLS1.2,5,57000,8,55
VPN,ECDHE,TLS1.3,8,87193,1,40
VPN,ECDSA,TLS1.3,16,70806,2,60
API,ECDHE,TLS1.2,5,11446,3,55
API,ECDHE,TLS1.2,1,6004,8,55
API,RSA,TLS1.3,18,15539,5,85
API,ECDSA,TLS1.2,16,70078,1,75
API,ECDSA,TLS1.3,13,47932,6,60
WEB,RSA,TLS1.3,2,36448,1,65
VPN,ECDHE,TLS1.2,14,75259,9,75
API,RSA,TLS1.3,9,31713,10,65
API,ECDHE,TLS1.3,17,2506,5,60
API,ECDSA,TLS1.2,3,10319,1,55
VPN,ECDSA,TLS1.2,7,6366,1,55
VPN,ECDSA,TLS1.2,13,20306,8,75
VPN,ECDHE,TLS1.3,7,74187,7,40
VPN,RSA,TLS1.3,12,74569,1,85
WEB,RSA,TLS1.3,11,94393,9,85
VPN,RSA,TLS1.3,14,60850,3,85
WEB,ECDHE,TLS1.2,18,39514,3,75
API,ECDHE,TLS1.2,16,32936,7,75
API,RSA,TLS1.2,6,46100,7,80
WEB,RSA,TLS1.3,3,83968,10,65
VPN,ECDSA,TLS1.2,8,21038,3,55
WEB,RSA,TLS1.3,5,37049,2,65
WEB,ECDSA,TLS1.2,19,99374,4,75
API,ECDHE,TLS1.2,7,34856,6,55
API,RSA,TLS1.3,4,99552,9,65
VPN,ECDSA,TLS1.2,17,43253,5,75
WEB,ECDSA,TLS1.3,7,80137,5,40
API,ECDSA,TLS1.2,15,49807,3,75
API,RSA,TLS1.3,5,8966,1,65
VPN,ECDHE,TLS1.3,4,42907,1,40
VPN,RSA,TLS1.2,5,91574,6,80
WEB,ECDSA,TLS1.2,4,2516,8,55
API,RSA,TLS1.2,6,76840,3,80
API,ECDHE,TLS1.3,1,99724,4,40
VPN,ECDHE,TLS1.2,6,46076,7,55
API,RSA,TLS1.2,3,27670,1,80
API,ECDHE,TLS1.3,19,46109,1,60
VPN,ECDSA,TLS1.3,17,95831,6,60
API,RSA,TLS1.3,18,17313,4,85
WEB,ECDSA,TLS1.3,8,77941,4,40
API,RSA,TLS1.2,12,85183,5,100
VPN,ECDSA,TLS1.3,10,29601,6,40
VPN,RSA,TLS1.3,2,19775,2,65
VPN,RSA,TLS1.2,18,65834,1,100
API,RSA,TLS1.2,6,22900,1,80
API,RSA,TLS1.2,12,83806,3,100
VPN,RSA,TLS1.3,6,43549,7,65
VPN,ECDSA,TLS1.2,17,96413,6,75
API,ECDHE,TLS1.3,5,60825,10,40
WEB,ECDSA,TLS1.3,8,64901,8,40
API,ECDSA,TLS1.2,7,1084,7,55
WEB,ECDSA,TLS1.2,1,9998,5,55
API,RSA,TLS1.3,9,94000,8,65
WEB,ECDHE,TLS1.2,5,52798,10,55
API,ECDHE,TLS1.2,11,61856,7,75
WEB,ECDHE,TLS1.3,7,18395,8,40
VPN,ECDHE,TLS1.3,9,90647,2,40
WEB,ECDHE,TLS1.3,1,22186,5,40
WEB,ECDHE,TLS1.2,3,10793,1,55
VPN,RSA,TLS1.2,20,71467,10,100
WEB,ECDHE,TLS1.2,11,7385,4,75
VPN,RSA,TLS1.3,13,69224,4,85
WEB,ECDHE,TLS1.2,6,93887,1,55
WEB,ECDHE,TLS1.3,16,69049,7,60
VPN,ECDHE,TLS1.3,7,99055,10,40
WEB,RSA,TLS1.2,15,64839,7,100
VPN,RSA,TLS1.3,8,33985,10,65
API,RSA,TLS1.3,20,40416,7,85
API,ECDSA,TLS1.2,4,5883,1,55
WEB,RSA,TLS1.2,4,4732,4,80
API,ECDHE,TLS1.3,2,74763,3,40
WEB,RSA,TLS1.2,20,7460,9,100
VPN,RSA,TLS1.2,6,11137,3,80
API,RSA,TLS1.3,16,88959,3,85
VPN,ECDSA,TLS1.2,6,14773,4,55
WEB,ECDSA,TLS1.2,1,43747,6,55
VPN,ECDSA,TLS1.2,1,54678,10,55
VPN,ECDHE,TLS1.2,19,42280,10,75
WEB,RSA,TLS1.3,12,37460,5,85
WEB,ECDSA,TLS1.2,19,92379,8,75
VPN,RSA,TLS1.2,20,22126,1,100
WEB,ECDSA,TLS1.2,6,30966,6,55
VPN,ECDSA,TLS1.3,5,43621,6,40
API,ECDHE,TLS1.3,9,67495,9,40
WEB,ECDSA,TLS1.3,11,44515,5,60
WEB,ECDSA,TLS1.2,11,66121,8,75
VPN,RSA,TLS1.2,2,90061,1,80
WEB,ECDSA,TLS1.2,8,6789,3,55
WEB,RSA,TLS1.2,12,98546,1,100
API,ECDSA,TLS1.3,11,18624,8,60
API,RSA,TLS1.2,6,59674,6,80
WEB,ECDSA,TLS1.3,12,3117,7,60
API,ECDSA,TLS1.2,7,71284,2,55
API,ECDHE,TLS1.2,12,70300,9,75
WEB,ECDHE,TLS1.3,12,37942,4,60
VPN,RSA,TLS1.3,8,3588,1,65
API,RSA,TLS1.3,15,98979,7,85
API,ECDHE,TLS1.2,9,61508,1,55
WEB,RSA,TLS1.3,19,62820,1,85
API,ECDSA,TLS1.3,7,41117,10,40
VPN,RSA,TLS1.2,18,66861,9,100
API,ECDSA,TLS1.2,16,54984,9,75
VPN,ECDSA,TLS1.2,10,24724,8,55
WEB,ECDSA,TLS1.2,19,49360,2,75
API,RSA,TLS1.2,20,13682,6,100
API,RSA,TLS1.2,12,17718,4,100
WEB,ECDHE,TLS1.3,3,74922,2,40
API,ECDSA,TLS1.2,12,31033,6,75
VPN,ECDSA,TLS1.3,12,96526,9,60
API,ECDSA,TLS1.2,11,37238,6,75
WEB,ECDHE,TLS1.2,15,25527,10,75
WEB,ECDSA,TLS1.3,9,85733,1,40
WEB,RSA,TLS1.3,6,41368,8,65
API,ECDHE,TLS1.2,2,24138,2,55
WEB,ECDHE,TLS1.2,11,13859,9,75
VPN,ECDHE,TLS1.2,15,98670,1,75
API,ECDSA,TLS1.2,14,97732,5,75
WEB,ECDHE,TLS1.3,4,56447,9,40
API,ECDHE,TLS1.3,8,43579,2,40
VPN,ECDHE,TLS1.2,17,40494,8,75
VPN,RSA,TLS1.3,8,49507,7,65
API,ECDSA,TLS1.3,10,70660,2,40
API,ECDSA,TLS1.3,8,84767,10,40
WEB,ECDHE,TLS1.2,12,98664,4,75
WEB,RSA,TLS1.2,9,95532,5,80
API,RSA,TLS1.2,9,6930,3,80
WEB,ECDHE,TLS1.2,16,48665,9,75
API,ECDSA,TLS1.3,14,81690,2,60
VPN,ECDHE,TLS1.2,11,68177,1,75
WEB,RSA,TLS1.3,12,27525,5,85
VPN,ECDHE,TLS1.2,12,54017,1,75
API,ECDSA,TLS1.2,2,71956,2,55
API,ECDHE,TLS1.3,5,57178,7,40
API,ECDHE,TLS1.2,18,83363,4,75
VPN,ECDSA,TLS1.2,19,24555,7,75
API,ECDSA,TLS1.2,16,83828,10,75
VPN,ECDHE,TLS1.3,19,99737,3,60
WEB,RSA,TLS1.2,3,66741,6,80
API,ECDSA,TLS1.2,11,10618,4,75
VPN,ECDSA,TLS1.3,12,73670,8,60
VPN,ECDSA,TLS1.3,9,89833,3,40
VPN,ECDSA,TLS1.2,14,74806,5,75
WEB,ECDSA,TLS1.3,4,42788,2,40
VPN,RSA,TLS1.2,6,20683,4,80
WEB,ECDHE,TLS1.2,17,33410,1,75
API,ECDHE,TLS1.3,18,7590,10,60
WEB,ECDHE,TLS1.3,8,32464,3,40
WEB,ECDSA,TLS1.2,14,88841,3,75
VPN,RSA,TLS1.3,18,78572,3,85
API,ECDHE,TLS1.3,4,69465,1,40
WEB,ECDHE,TLS1.3,13,5246,9,60
WEB,ECDSA,TLS1.3,18,27857,3,60
API,ECDHE,TLS1.3,12,57622,4,60
API,ECDSA,TLS1.3,10,95217,8,40
WEB,ECDHE,TLS1.3,20,2697,7,60
VPN,ECDSA,TLS1.3,12,80479,5,60
API,RSA,TLS1.2,3,44249,2,80
WEB,ECDHE,TLS1.3,13,46643,8,60
VPN,ECDHE,TLS1.3,4,54979,3,40
API,RSA,TLS1.3,12,6997,3,85
WEB,ECDHE,TLS1.3,19,33340,2,60
WEB,RSA,TLS1.2,9,67792,5,80
WEB,ECDSA,TLS1.3,6,39435,7,40
WEB,RSA,TLS1.2,11,34818,3,100
VPN,RSA,TLS1.3,7,53172,6,65
VPN,ECDSA,TLS1.3,13,60277,5,60
API,ECDHE,TLS1.2,11,69149,7,75
VPN,RSA,TLS1.2,16,63548,2,100
VPN,RSA,TLS1.2,20,49191,2,100
API,ECDHE,TLS1.2,4,73999,10,55
API,RSA,TLS1.2,10,35028,2,80
WEB,ECDSA,TLS1.2,3,54129,6,55
VPN,ECDHE,TLS1.2,1,81976,1,55
API,RSA,TLS1.3,6,56061,5,65
WEB,ECDHE,TLS1.3,15,93715,10,60
WEB,RSA,TLS1.2,18,6469,1,100
API,RSA,TLS1.3,7,44411,10,65
API,ECDHE,TLS1.2,12,73189,4,75
WEB,ECDSA,TLS1.3,16,46694,5,60
VPN,ECDHE,TLS1.2,6,5862,3,55
VPN,ECDHE,TLS1.3,20,86631,6,60
VPN,ECDSA,TLS1.3,9,16883,10,40
WEB,ECDSA,TLS1.3,1,38407,4,40
API,RSA,TLS1.3,17,71978,2,85
API,ECDSA,TLS1.2,4,55763,3,55
WEB,ECDSA,TLS1.2,13,94626,4,75
VPN,ECDHE,TLS1.3,18,67972,8,60
WEB,ECDHE,TLS1.2,10,22278,2,55
VPN,ECDHE,TLS1.2,7,68933,5,55
API,RSA,TLS1.2,19,87180,4,100
VPN,ECDHE,TLS1.2,8,28626,3,55
API,ECDHE,TLS1.3,6,48708,7,40
API,RSA,TLS1.3,16,46011,4,85
API,ECDSA,TLS1.3,10,97906,3,40
WEB,ECDSA,TLS1.3,17,6774,8,60
VPN,ECDSA,TLS1.3,19,47736,9,60
VPN,ECDHE,TLS1.2,15,76391,7,75
VPN,RSA,TLS1.2,19,57014,2,100
API,ECDHE,TLS1.3,14,44566,6,60
VPN,ECDSA,TLS1.3,6,48606,10,40
WEB,ECDHE,TLS1.3,9,92020,8,40
VPN,RSA,TLS1.3,19,57198,4,85
WEB,ECDSA,TLS1.2,5,98682,2,55
VPN,RSA,TLS1.2,9,47671,3,80
VPN,ECDHE,TLS1.3,20,52358,2,60
WEB,ECDSA,TLS1.3,10,45070,8,40
WEB,ECDSA,TLS1.2,8,56663,3,55
API,ECDHE,TLS1.2,2,75373,3,55
VPN,ECDSA,TLS1.2,8,66231,6,55
API,ECDSA,TLS1.2,13,43617,3,75
VPN,ECDSA,TLS1.2,13,74137,2,75
VPN,ECDHE,TLS1.3,12,30138,2,60
WEB,RSA,TLS1.3,11,67977,7,85
WEB,ECDSA,TLS1.3,12,79035,5,60
WEB,RSA,TLS1.2,13,56202,6,100
VPN,ECDHE,TLS1.2,4,81187,2,55
API,ECDHE,TLS1.3,19,29518,10,60
WEB,RSA,TLS1.2,4,53993,1,80
API,RSA,TLS1.3,2,37308,6,65
WEB,ECDHE,TLS1.2,14,86662,9,75
API,ECDSA,TLS1.3,19,93266,4,60
VPN,RSA,TLS1.2,16,45846,6,100
VPN,ECDSA,TLS1.2,10,1425,2,55
WEB,RSA,TLS1.3,11,14456,2,85
WEB,RSA,TLS1.3,1,74579,1,65
WEB,ECDHE,TLS1.3,19,56345,5,60
API,ECDSA,TLS1.2,13,72303,8,75
API,ECDHE,TLS1.2,8,10895,9,55
VPN,ECDHE,TLS1.3,17,25008,9,60
API,ECDSA,TLS1.3,18,40132,8,60
WEB,ECDSA,TLS1.2,12,76863,1,75
API,RSA,TLS1.2,7,43786,3,80
API,ECDSA,TLS1.3,2,82047,2,40
VPN,ECDSA,TLS1.2,20,74310,2,75
VPN,RSA,TLS1.3,4,96722,7,65
API,ECDHE,TLS1.3,5,74751,10,40
API,RSA,TLS1.2,6,86738,5,80
WEB,RSA,TLS1.3,5,16446,5,65
API,ECDSA,TLS1.2,5,83866,6,55
WEB,ECDHE,TLS1.2,1,17861,9,55
WEB,ECDSA,TLS1.2,11,92807,7,75
API,ECDHE,TLS1.2,2,47085,2,55
WEB,RSA,TLS1.3,9,40523,1,65
API,RSA,TLS1.2,7,91090,3,80
API,ECDHE,TLS1.3,2,37325,5,40
WEB,ECDSA,TLS1.3,12,69463,4,60
WEB,ECDHE,TLS1.3,15,12718,9,60
API,ECDHE,TLS1.2,10,39599,1,55
WEB,ECDHE,TLS1.3,7,23789,8,40
VPN,RSA,TLS1.2,20,52884,8,100
API,ECDHE,TLS1.3,8,76683,7,40
API,RSA,TLS1.2,19,23380,10,100
VPN,RSA,TLS1.2,20,85278,9,100
WEB,ECDSA,TLS1.3,13,65090,3,60
API,ECDSA,TLS1.3,10,73440,8,40
API,ECDHE,TLS1.3,16,21285,5,60
VPN,ECDSA,TLS1.2,15,70664,1,75
VPN,ECDHE,TLS1.3,3,88275,5,40
API,ECDSA,TLS1.2,4,89205,1,55
WEB,RSA,TLS1.2,6,72519,5,80
API,RSA,TLS1.2,3,75230,3,80
VPN,ECDHE,TLS1.3,10,47126,8,40
API,RSA,TLS1.3,18,30783,3,85
API,RSA,TLS1.3,2,21112,8,65
API,RSA,TLS1.3,1,56192,4,65
API,ECDSA,TLS1.3,9,35362,10,40
VPN,RSA,TLS1.3,2,70129,9,65
VPN,RSA,TLS1.2,7,76594,4,80
WEB,ECDSA,TLS1.2,6,8689,6,55
WEB,ECDHE,TLS1.2,13,36877,3,75
API,ECDSA,TLS1.3,2,47298,9,40
VPN,RSA,TLS1.3,12,5547,8,85
VPN,ECDSA,TLS1.2,6,31229,9,55
VPN,ECDHE,TLS1.2,3,68851,1,55
API,ECDSA,TLS1.2,8,23305,5,55
VPN,ECDSA,TLS1.2,2,49975,9,55
API,RSA,TLS1.2,8,86181,4,80
WEB,RSA,TLS1.3,17,30264,5,85
API,ECDSA,TLS1.3,5,96244,4,40
WEB,ECDSA,TLS1.3,7,79549,2,40
VPN,ECDHE,TLS1.2,10,98429,7,55
API,RSA,TLS1.3,9,17635,2,65
WEB,ECDSA,TLS1.3,16,95697,10,60
API,RSA,TLS1.3,13,15529,8,85
WEB,ECDSA,TLS1.3,11,47430,7,60
VPN,ECDHE,TLS1.3,7,35114,6,40
WEB,ECDHE,TLS1.2,1,27135,6,55
API,ECDSA,TLS1.2,8,27481,6,55
WEB,ECDHE,TLS1.2,14,32589,7,75
WEB,ECDHE,TLS1.3,9,45712,1,40
API,RSA,TLS1.2,3,98644,4,80
API,ECDSA,TLS1.2,6,53342,10,55
WEB,ECDSA,TLS1.3,7,29536,5,40
VPN,RSA,TLS1.3,11,36654,10,85
API,RSA,TLS1.3,9,65858,9,65
VPN,ECDHE,TLS1.3,15,15161,5,60
API,ECDHE,TLS1.2,10,26612,3,55
WEB,ECDSA,TLS1.2,18,63019,6,75
WEB,ECDSA,TLS1.2,10,20806,3,55
VPN,RSA,TLS1.2,8,8205,5,80
WEB,ECDHE,TLS1.2,20,24584,1,75
WEB,ECDSA,TLS1.3,9,8203,5,40
VPN,ECDHE,TLS1.3,18,43890,4,60
WEB,RSA,TLS1.3,15,66199,7,85
